job_id,job_title_id,country_id,job_title,company_name,location_id
p_2593f7c24fb99cd4,1,2,Physical Security Analyst,BMO Financial Group,135
p_88b8bfa351acdd43,1,2,"Senior Analyst, Loyalty",Lululemon,207
p_ed630239b0d7a730,1,2,Junior Decision Support Analyst,Reconnect Community Health Services,205
p_d5d30aa1ed9c95d0,1,2,Junior Business Analyst,Valnet Inc.,135
p_174743e2dec19f30,1,2,Data Visualization Analyst (Developer),Suncor Energy Services,69
p_311a3949da094d72,1,2,Web Analyst,DAC Group,146
p_e84fc30297cdcbd4,1,2,Quality Analyst - ALLY- Call Center,Majorel,216
p_0472728d343ba0b8,1,2,HR Data Analyst,Behavox,135
p_e290ca453d7a490d,1,2,Data Analyst /Data Governance Specialist,American Iron and Metal,135
p_952b3cb36aecc74f,1,2,BI Analyst,DeSerres,135
p_8d6bb5d0ff9caf51,1,2,Analyste BI - BI Analyst,Bonduelle,169
p_a3da6ff25100ef8b,1,2,Senior Inventory Analyst,BlackSquare,69
p_5d6ce97fad668db6,1,2,Data Analyst,MEDCAN,205
p_aa669c5e36c53f43,1,2,Logistics Analyst,Corporate Irving Group Moncton,84
p_72736bd98b07ece5,1,2,Data Analyst/Senior Data Analyst,StackAdapt,205
pj_6069fba777c28a29,1,2,Data Analyst,JoeyCo,132
pj_c07fb5520ca10612,1,2,Solution Analyst,Insurity,135
p_37f5eaeccc4d66c3,1,2,Analyst,Advanis,89
p_011ef0b31a96d810,1,2,Data Analyst,WGames Inc.,205
p_46f7c8d7c739c5ae,1,2,Payroll and Benefits Analyst,Town of Oakville,143
p_4bfa39f87a0c6211,1,2,Product Analyst (Toronto),Motoinsight,205
p_08659c066dd918a3,1,2,"Business Analyst, Budget & Fundraising",Okanagan College,110
pj_cbd89730f9daa5ad,1,2,Business Development Manager & Analyst,JTE Claims Consultants Ltd.,143
p_144954416a897019,1,2,Développeur BI-(H/F),Société Générale,135
