Job ID,Job Title Index,Job Title,Company Name,Company Location,Country
p_4e33caba64198fb1,1,Analyst,Celecti Pte. Ltd.,Singapore,1
p_b889d6626f953133,1,Financial Analyst,Frasers Centre Point,Singapore,1
p_7a56904242a2a064,1,Business Analyst,HAYS SPECIALIST RECRUITMENT PTE. LTD.,Singapore,1
p_60d7da30f159acb5,1,Partner Data Analyst - Control Tower,FLEXPORT SINGAPORE PTE. LTD.,Outram,1
p_2888cc338dbcd4a6,1,"AVP, Business Analyst",OCBC Bank,Singapore,1
p_238edd13f3c1e785,1,Singapore Reporter,Reorg Research,Singapore,1
p_2bb7bb55b49eb494,1,Research Analyst,Beacon Consulting Pte Ltd,Singapore,1
p_9fd413eb6fdce316,1,Business Analyst (Vietnam Market),Sea Limited,Singapore,1
p_eeccefb3d815e8c2,1,Programmer,OCBC Bank,Singapore,1
p_5fa9da6b8713fc9a,1,Lead Finance Analyst (ZBS),Dyson,Singapore,1
p_54132307c8c01aef,1,Senior Business Analyst - Data / Global Markets,Eames Consulting,Singapore,1
p_5ab0d23c30bdf551,1,Apprentice - Data Governance Analyst,Dell Technologies,Singapore,1
p_3b82bd8b8e566696,1,Apple Support Business Analyst,Apple,Singapore,1
p_a54e8e8afb7cfcb3,1,"AVP, Portfolio Analyst",OCBC Bank,Singapore,1
p_ab3324aba25329e9,1,Business Data Analyst,Sciente International Pte Ltd,Singapore,1
p_bb5f1c6132bee8a0,1,Tableau Analyst - Data Visualization/ Dashboarding,Michael Page,Singapore,1
p_2720b805e1d19ba4,1,Business Analyst,Pernod Ricard,Singapore,1
p_8e13e2b1507600ab,1,Data Analyst,GUMI ASIA PTE. LTD.,Clementi,1
p_961eb1362f934eee,1,Senior Financial Reporting Analyst,Ambition Group Singapore Pte Ltd,Singapore,1
p_36d1a1ea53718660,1,Business Intelligence Analyst (Data Analyst),JAC Recruitment Singapore,Singapore,1
p_4033f98a71b797a1,1,Portfolio Assistant,Franklin Templeton Investments,Singapore,1
p_48b87091ead9ac6b,1,Financial Analyst,Affinidi Group,Singapore,1
p_335e9ca0bdf6fde1,1,"Search & Recommendations Quality Analyst Manager, Human Eval...",Apple,Singapore,1
p_43302dfcf062f4ae,1,Research Analyst,CHARIOTS CAPITAL PTE. LTD.,Jurong Island,1
p_9a66d63a57f7e98c,1,Operations Analyst,FCS CAREERS PTE. LTD.,Little India,1
p_0f053cc63eee870e,1,"Incident Remediation Analyst, APAC DPS - Associate",BNP Paribas,Singapore,1
p_9bdec1f8d47950fe,1,Senior/Data Analyst,Golden Bridge Drive SG,Singapore,1
p_6e3b4facc4669a58,1,Investment Banking Analyst 1-3,Ethos BeathChapman,Singapore,1
p_afc46af15aca336d,1,Business Analyst - Financial Markets - Singapore,Luxoft,Singapore,1
p_1e78c3041e64346f,1,Data Analyst,HCM Nexus Consulting Inc,Singapore,1
p_89247033577ee940,1,Analyst/Consultant,Blackdot,Singapore,1
p_b0981961e88e5084,1,Head of Enterprise Data Governance,Prudential,Singapore,1
p_bceb7dbe69fd16a6,1,Data Analyst,PCCW SOLUTIONS SINGAPORE PTE. LTD.,Outram,1
p_4070fd31aa07e1df,1,"Supply & Demand Planning Analyst (APAC, Medical Devices)",Celecti Manpower,Singapore,1
p_cd327c14ef7bbd6c,1,Business Analyst (FP&A),Razer USA Ltd.,Singapore,1
p_4cb0cb057ba25b6c,1,Operations Analyst,DSO National Laboratories,Singapore,1
p_69ae0f6fba9b1a64,1,Customer Integration Analyst,HBO Max,Singapore,1
p_21cb1b98517a619a,1,Financial Analyst,Amazon Asia-Pacific Holdings,Singapore,1
p_375ce7e75cfa217e,1,TFP - Financial Analyst,Thermo Fisher Scientific,Singapore,1
p_c5e23e5845d5af1f,1,Customer Intelligence Analyst (Japan Market),Procter & Gamble,Singapore,1
p_9dc5c595ba88dbbe,1,SOC Analyst,Ensign InfoSecurity,Kallang,1
p_8e31b416c563a30a,1,Finance Analyst - 1 year contract,Media Networks,Central Singapore,1
p_109c8bd4e829880f,1,EPM/BI Support Analyst,Sea Limited,Singapore,1
p_263198295add68fd,1,Security Analyst (SOC),Sea Limited,Singapore,1
p_ff4cdabec0fb5aa7,1,Regional Commercial Strategy Analyst,Ninja Van,Singapore,1
p_b92260bdbe192564,1,Financial Data Analyst : APAC Engineering and Ops Finance,Apple,Singapore,1
p_0eaa8dcd82a04463,1,APAC & EM Controls Analyst,Thermo Fisher Scientific,Singapore,1
p_3b3f39de47d54025,1,Portfolio Analyst,AIA Group,Singapore,1
p_716da7209fe591a6,1,"Commercial Support Analyst, Pharma COE SEA",Johnson & Johnson Family of Companies,Singapore,1
p_985576b8b4cf091d,1,Data Analyst,TITANSOFT PTE. LTD.,Outram,1
p_95f01edecfa31e9d,1,Business Analyst,Infinite Computer Solutions Pte Ltd,Singapore,1
p_6470ec406397f706,1,Helpdesk Analyst,Sciente Consulting Pte. Ltd,Singapore,1
p_6fb37b1ed1ca533b,1,Senior Threat Hunter/Analyst,NETWORK GUARD PTE. LTD.,Singapore,1
p_d3ab64169e36224c,1,Business Impact Analyst (Contract/Banking/Data Analytics),TANGSPAC CONSULTING PTE LTD,Outram,1
p_ee5e6926d3797a03,1,"PMO / Business Analyst, Business Transformation",Kerry Consulting Pte Ltd,Singapore,1
p_9e1db8c5269669e1,1,Campaign Analyst,Techcom Solutions Pte Ltd,Singapore,1
p_a569319c304d4ed9,1,Senior IT Business Analyst,Groupe Crédit Agricole,Singapore,1
